Designator,Mid X,Mid Y,Rotation,Layer
C1,-9.53,25.28,0.0,top
C10,27.5525,26.86,180.0,bottom
C100,181.14,30.82,270.0,bottom
C101,185.39,30.82,270.0,bottom
C102,146.39675,94.985,90.0,bottom
C103,142.14675,94.985,90.0,bottom
C104,137.89675,94.985,90.0,bottom
C105,133.64675,94.985,90.0,bottom
C106,129.39675,94.985,90.0,bottom
C107,125.14675,94.985,90.0,bottom
C108,120.89675,94.985,90.0,bottom
C109,93.85,74.68,0.0,top
C11,27.5525,28.83,180.0,bottom
C110,114.51,82.06,0.0,top
C111,114.51,79.05,0.0,top
C112,114.51,76.04,0.0,top
C113,99.12,82.34,0.0,top
C114,99.12,79.33,0.0,top
C115,99.12,76.32,0.0,top
C116,99.12,73.31,0.0,top
C117,67.595,74.33,0.0,top
C118,86.94,81.55,0.0,top
C119,86.94,78.54,0.0,top
C12,27.5525,30.8,180.0,bottom
C120,86.94,75.53,0.0,top
C121,72.44,82.26,0.0,top
C122,72.44,79.25,0.0,top
C123,72.44,76.24,0.0,top
C124,72.44,73.23,0.0,top
C125,17.24,10.995,270.0,bottom
C126,18.75,11.005,90.0,bottom
C127,43.6675,72.97,0.0,top
C128,62.75,81.47,0.0,top
C129,62.75,78.46,0.0,top
C13,27.5525,32.77,180.0,bottom
C130,62.75,75.45,0.0,top
C131,48.43,81.69,0.0,top
C132,48.43,78.68,0.0,top
C133,48.43,75.67,0.0,top
C134,48.43,72.66,0.0,top
C135,22.26,11.01,90.0,bottom
C136,23.78,11.01,90.0,bottom
C137,67.92,45.1275,180.0,top
C138,47.25,38.0375,180.0,top
C139,47.25,41.0475,180.0,top
C14,27.5525,34.74,180.0,bottom
C140,47.25,44.0575,180.0,top
C141,62.74,37.6175,180.0,top
C142,62.74,40.6275,180.0,top
C143,62.74,43.6375,180.0,top
C144,62.74,46.6475,180.0,top
C145,26.26,11.01,270.0,bottom
C146,27.74,11.01,90.0,bottom
C147,92.29,47.58,180.0,top
C148,72.87,39.46,180.0,top
C149,72.87,42.47,180.0,top
C15,15.9325,38.7,270.0,bottom
C150,72.87,45.48,180.0,top
C151,87.55,39.19,180.0,top
C152,87.55,42.2,180.0,top
C153,87.55,45.21,180.0,top
C154,87.55,48.22,180.0,top
C155,30.25,11.01,90.0,bottom
C156,31.74,11.0,90.0,bottom
C157,119.565,47.65,180.0,top
C158,100.04,39.5,180.0,top
C159,100.04,42.51,180.0,top
C16,10.7825,24.24,180.0,bottom
C160,100.04,45.52,180.0,top
C161,114.34,38.95,180.0,top
C162,114.34,41.96,180.0,top
C163,114.34,44.97,180.0,top
C164,114.34,47.98,180.0,top
C165,133.42,69.58325,180.0,bottom
C166,-23.2025,78.0775,90.0,top
C167,-20.1925,78.0775,90.0,top
C168,133.2925,73.16325,180.0,bottom
C169,122.91,71.42675,0.0,bottom
C17,10.7825,26.21,180.0,bottom
C170,-30.28,77.93,90.0,top
C171,133.3925,66.08325,180.0,bottom
C172,174.501515,95.846985,180.0,bottom
C173,174.501515,98.356985,180.0,bottom
C174,174.501515,100.866985,180.0,bottom
C175,174.501515,103.376985,180.0,bottom
C176,178.851515,95.846985,180.0,bottom
C177,187.601515,96.096985,180.0,bottom
C178,178.851515,98.356985,180.0,bottom
C179,185.441515,88.347735,180.0,bottom
C18,10.7825,28.18,180.0,bottom
C180,187.601515,99.106985,180.0,bottom
C181,178.851515,100.866985,180.0,bottom
